Threat ID,Date,Threat Type,Severity,Affected System,Description,Detection Method,Resolution Time (hours),Impact
T001,2024-01-01,Malware,High,Server,Detected malware on server causing data breach.,Antivirus,4,Data Loss
T002,2024-01-02,Phishing,Medium,Workstation,Phishing email received by employee.,Employee Report,2,None
T003,2024-01-03,Ransomware,Critical,Network,Ransomware attack encrypting network files.,IDS,10,System Downtime
T004,2024-01-04,DDoS,High,Network,Distributed Denial of Service attack on network.,Firewall,6,System Downtime
T005,2024-01-05,Malware,Low,Workstation,Malware detected on workstation.,Antivirus,1,None
T006,2024-01-06,Phishing,Medium,Server,Phishing attempt on server login.,Employee Report,2,None
T007,2024-01-07,Ransomware,Critical,Workstation,Ransomware found on employee's computer.,Antivirus,8,Data Loss
T008,2024-01-08,DDoS,High,Server,DDoS attack impacting server availability.,Firewall,7,System Downtime
T009,2024-01-09,Malware,High,Network,Network malware causing slow performance.,IDS,5,System Downtime
T010,2024-01-10,Phishing,Low,Workstation,Phishing email with suspicious link.,Employee Report,1,None
T011,2024-01-11,Ransomware,Critical,Server,Server files encrypted by ransomware.,Antivirus,12,Data Loss
T012,2024-01-12,DDoS,High,Network,Large scale DDoS attack on network.,Firewall,8,System Downtime
T013,2024-01-13,Malware,Medium,Workstation,Malware detected in employee email attachment.,Antivirus,3,None
T014,2024-01-14,Phishing,Low,Server,Phishing attempt on admin login.,Employee Report,1,None
T015,2024-01-15,Ransomware,High,Workstation,Ransomware discovered on workstation.,Antivirus,7,Data Loss
T016,2024-01-16,DDoS,Medium,Server,DDoS attack targeting specific server.,Firewall,4,System Downtime
T017,2024-01-17,Malware,Low,Network,Malware found in network traffic.,IDS,2,None
T018,2024-01-18,Phishing,Medium,Workstation,Phishing scam targeting employee.,Employee Report,2,None
T019,2024-01-19,Ransomware,Critical,Server,Severe ransomware attack on main server.,Antivirus,14,Data Loss
T020,2024-01-20,DDoS,High,Network,Network downtime due to DDoS attack.,Firewall,9,System Downtime
T021,2024-01-21,Malware,Medium,Server,Malware infection on server files.,Antivirus,3,System Downtime
T022,2024-01-22,Phishing,Low,Workstation,Employee reported phishing email.,Employee Report,1,None
T023,2024-01-23,Ransomware,Critical,Network,Ransomware attack spreading through network.,IDS,16,Data Loss
T024,2024-01-24,DDoS,High,Server,Severe DDoS attack causing server crash.,Firewall,10,System Downtime
T025,2024-01-25,Malware,Low,Workstation,Malware detected in downloaded software.,Antivirus,2,None
T026,2024-01-26,Phishing,Medium,Server,Phishing attempt with fake admin alert.,Employee Report,2,None
T027,2024-01-27,Ransomware,Critical,Workstation,Ransomware attack on personal computer.,Antivirus,9,Data Loss
T028,2024-01-28,DDoS,High,Network,High volume DDoS attack on network infrastructure.,Firewall,11,System Downtime
T029,2024-01-29,Malware,High,Server,Severe malware infection on server.,IDS,6,Data Loss
T030,2024-01-30,Phishing,Low,Workstation,Phishing email detected in inbox.,Employee Report,1,None
T031,2024-01-31,Ransomware,Critical,Network,Ransomware attack causing data loss.,Antivirus,18,Data Loss
T032,2024-02-01,DDoS,High,Server,Server outage due to DDoS attack.,Firewall,12,System Downtime
T033,2024-02-02,Malware,Medium,Workstation,Employee workstation infected with malware.,Antivirus,3,None
T034,2024-02-03,Phishing,Low,Server,Phishing attempt targeting admin credentials.,Employee Report,1,None
T035,2024-02-04,Ransomware,High,Workstation,Ransomware discovered in network drive.,Antivirus,8,Data Loss
T036,2024-02-05,DDoS,Medium,Network,Moderate DDoS attack on network services.,Firewall,5,System Downtime
T037,2024-02-06,Malware,Low,Workstation,Low severity malware found in email.,Antivirus,1,None
T038,2024-02-07,Phishing,Medium,Server,Server phishing attempt through email.,Employee Report,2,None
T039,2024-02-08,Ransomware,Critical,Network,Massive ransomware attack on network.,IDS,20,Data Loss
T040,2024-02-09,DDoS,High,Server,Server disruption due to DDoS attack.,Firewall,13,System Downtime
T041,2024-02-10,Malware,High,Network,Network slowdown caused by malware.,IDS,6,System Downtime
T042,2024-02-11,Phishing,Low,Workstation,Phishing email reported by employee.,Employee Report,1,None
T043,2024-02-12,Ransomware,Critical,Server,Server compromised by ransomware.,Antivirus,15,Data Loss
T044,2024-02-13,DDoS,High,Network,Network services affected by DDoS attack.,Firewall,14,System Downtime
T045,2024-02-14,Malware,Medium,Workstation,Malware infection on employee computer.,Antivirus,3,None
T046,2024-02-15,Phishing,Low,Server,Admin received phishing email.,Employee Report,1,None
T047,2024-02-16,Ransomware,High,Workstation,High severity ransomware attack.,Antivirus,9,Data Loss
T048,2024-02-17,DDoS,Medium,Server,DDoS attack on company server.,Firewall,6,System Downtime
T049,2024-02-18,Malware,Low,Network,Minor malware infection detected in network.,IDS,2,None
T050,2024-02-19,Phishing,Medium,Workstation,Employee targeted by phishing scam.,Employee Report,2,None